name,old_price,new_price,change_percent
Insight Cosmetics Blusher - Soft Salmon (3.5g),94.0,85.0,-9.57
Too Faced Cloud Crush - Milk & Cookies (4.3 g),2040.0,2550.0,25.0
Charmacy Milano Matte Foundation - 05 (30ml),967.0,989.0,2.28
M.A.C Studio Fix Fluid SPF 15 Foundation - NC35 (30 ml),3000.0,4000.0,33.33
Benefit Cosmetics High Beam Liquid Highlighter - Satiny Pink (6ml),2205.0,2450.0,11.11
Benefit Cosmetics Cookie Highlighter - Golden Pearl (8g),3330.0,3700.0,11.11
Lakme Unreal Glow Primer (30 g),332.0,359.0,8.13
KIKO Milano Velvet Touch Creamy Stick Blush New 2016 - 06 Geranium (10 g),977.0,1035.0,5.94
FENTY BEAUTY Match Stix Matte Contour Skinstick - Amber (7.1 g),2740.0,3425.0,25.0
RENEE You Are Blushing Liquid Blush - Rosy Haze (6 ml),378.0,391.0,3.44
M.A.C Studio Fix Fluid SPF 15 Foundation - NC25 (30 ml),2550.0,3400.0,33.33
Swiss Beauty Studio Finish Primer Matte & Poreless (30ml),299.0,319.0,6.69
Lakme Powerplay Priming Powder Foundation 3-in-1 Lasting Matte Dry/Oily Skin - Ivory Cream (9 g),221.0,239.0,8.14
Innisfree No-Sebum Mineral Pact (8.5 g),712.0,807.0,13.34
Swiss Beauty High Coverage Waterproof Base Foundation - 06 Medium Beige (55g),321.0,334.0,4.05
Akind Drop A Hint Hydrating Skin Tint SPF 30 PA+++ Dewy Skin & Sun Protection - 120 Vanilla (30ml),397.0,477.0,20.15
Charmacy Milano Baked Illuminator No. 3 - (4gm),620.0,636.0,2.58
Innisfree No Sebum Moisture Powder (5 g),450.0,540.0,20.0
Lakme Xtraordin-airy Compact 2 In 1 Compact + Foundation Lightweight SPF17 - 03 Golden Medium (9 g),325.0,351.0,8.0
Lakme Facelift Multislayer Contour Stick - Bold drama Neutral Medium (11 g),360.0,390.0,8.33
Renee Everyday Primer - Clear (30 ml),219.0,226.0,3.2
Lakme 9to5 Powerplay Mousse Foundation - Beige Vanilla (25 g),277.0,300.0,8.3
Innisfree No-Sebum AC Powder - White (5 g),495.0,561.0,13.33
KIKO Milano Smart Blush - 09 Pearly Chocolate (6 g),637.0,675.0,5.97
Swiss Beauty Make Up Base Prep Cover Combo,628.0,676.0,7.64
KIRO Wonder Wand Multi Stick - Pink Opal (7.5 g),595.0,680.0,14.29
Estee Lauder Double Wear Stay-in-Place Foundation SPF10 - 0N1 Alabaster (30 ml),3910.0,4600.0,17.65
KIKO Milano Irresistible Total Look Face Powder Palette - 02 Medium-Dark (16 g),2167.0,2295.0,5.91
KIKO Milano Irresistible Total Look Face Powder Palette - 01 Light-Medium (16 g),2167.0,2295.0,5.91
FENTY BEAUTY Killawatt Highlighter Duo - Lightning Dust/Fire Crystal (7 g),3320.0,4150.0,25.0
KIKO Milano So Chic Trio Blush - 04 Ruby Bliss (4.5 ml),1266.0,1341.0,5.92
"Pilgrim 3-in-1 Face Palette Blush, Highlighter & Contour - Bold Charme (12 g)",540.0,596.0,10.37
RENEE Face Base Liquid Foundation - Cappuccino (23ml),562.0,585.0,4.09
Armani Luminous Silk Perfect Natural Glow Foundation - 5-Light Neutral (30 ml),4760.0,5600.0,17.65
Benefit Cosmetics The POREfessional Face Primer - Transparent (22ml),3330.0,3700.0,11.11
Laneige Neo Essential Blurring Finish Powder - Transparent (7 g),1317.0,1395.0,5.92
Too Faced Cloud Crush Blush - Candy Clouds (5 g),2400.0,3000.0,25.0
FENTY BEAUTY Match Stix Matte Contour Skinstick - Mocha (7.1 g),2740.0,3425.0,25.0
M.A.C Studio Radiance 24Hr Luminous Lift Concealer - NW35 (11 ml),2480.0,3100.0,25.0
Swiss Beauty High Coverage Waterproof Base Foundation - 08 Sun Beige (55g),321.0,334.0,4.05
Swiss Beauty High Coverage Waterproof Base Foundation - White Ivory (60 g),321.0,334.0,4.05
Innisfree No Sebum Blur Primer – Smooth Pore Coverage & Soft Base (25 ml),712.0,807.0,13.34
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Sand (13.5ml),2100.0,2800.0,33.33
Swiss Beauty Matte Makeup Fixer - (70 ml),216.0,245.0,13.43
KIKO Milano Daily Protection BB Cream - 02 Porcelain (30 ml),1147.0,1215.0,5.93
M.A.C Studio Fix Powder Plus Foundation - NC40 (12 g),2550.0,3000.0,17.65
M.A.C Studio Radiance 24Hr Luminous Lift Concealer - NC15 (11 ml),2480.0,3100.0,25.0
Lakme Xtraordin-airy Compact 2 In 1 Compact + Foundation Lightweight SPF17 - Rose Fair (9 g),325.0,351.0,8.0
Lakme Unreal Undercover Gel Primer Enriched with Viitamin E (30 ml),332.0,359.0,8.13
Too Faced Cloud Crush Blush - Watermelon rain (4.8g),2400.0,3000.0,25.0
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Light Beige (13.5ml),2100.0,2800.0,33.33
M.A.C Studio Radiance Serum Powered Foundation - NC20 (30ml),3225.0,4300.0,33.33
M.A.C Matte Powder Blush - Mocha (6g),2480.0,3100.0,25.0
Too Faced Cloud Crush Blush - Tequila Sunset (4.8g),2400.0,3000.0,25.0
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Vanilla (13.5ml),2100.0,2800.0,33.33
Swiss Beauty Bake It Away Loose Powder - 01 Banana (28g),246.0,256.0,4.07
Too Faced Born This Way Foundation - Vanilla (30 ml),3160.0,3950.0,25.0
Pilgrim Serum Foundation - Natural Almond (30 g),451.0,521.0,15.52
Renee Cosmetics Pro Banana Powder - Light (10 g),371.0,389.0,4.85
Lakme Facelift Multislayer Contour Stick - Define Diva Neutral Light (11 g),360.0,390.0,8.33
M.A.C Studio Fix Fluid SPF 15 Foundation - NC30 (30 ml),2550.0,3400.0,33.33
Armani Luminous Silk Perfect Natural Glow Foundation - 4-Light Golden (30 ml),4462.0,5600.0,25.5
Armani Luminous Silk Hydrating & Brightening Concealer - 4.5-Light To Medium Neutral (12 ml),2847.0,3350.0,17.67
Lakme 9to5 Powerplay Priming Concealer Built in Primer Hydrating - 16 Sand (5.4 ml),231.0,250.0,8.23
Swiss Beauty Liquid Lightweight Concealer With Full Coverage - 11 Creamy Beige (6 g),186.0,199.0,6.99
Benefit Cosmetics Dandelion Twinkle Soft Mini Highlighter - Nude Pink (1.5g),1791.0,1990.0,11.11
Smashbox The Original Photo Finish Smooth & Blur Foundation Primer - Jumbo Size (50 ml),3562.0,4750.0,33.35
FENTY BEAUTY You Mist Makeup-Extending Setting Spray (100 ml),2660.0,3325.0,25.0
Mamaearth Glow Serum Foundation - 01 Ivory Glow (30ml),503.0,527.0,4.77
Charmacy Milano Set & Fix Loose Powder - (16gm),922.0,945.0,2.49
Swiss Beauty Liquid Lightweight Concealer With Full Coverage - 10 Porcelain (6 g),186.0,199.0,6.99
Swiss Beauty Liquid Concealer - 03 Light Moyen (6g),186.0,211.0,13.44
KIKO Milano Skin Hybrid Blurring Skin Tint Foundation SPF 30 - 07 Cocoa (30 ml),1402.0,1485.0,5.92
The Face Shop Rice Water Bright Light Cleansing Oil - Korean Makeup Remover for heavy makeup (150ml),1079.0,1146.0,6.21
"Lakme 9 to 5 Powerplay Matte Compact, Oil Control Formula, With Vitamin E, Almond (8 g)",212.0,230.0,8.49
Renee Everyday Makeup Fixer - Transparent (50 ml),183.0,190.0,3.83
Lakme Powerplay Priming Powder Foundation 3-in-1 Lasting Matte Dry/Oily Skin - Silky Golden (9 g),227.0,245.0,7.93
Lakme 9to5 Hya Matte Foundation + Hyaluronic Acid - Cool Ivory (25 ml),584.0,539.0,-7.71
Swiss Beauty Liquid Lightweight Concealer With Full Coverage - 13 Classic Nude (6 g),186.0,199.0,6.99
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer - Swan (13.5ml),2100.0,2800.0,33.33
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Warm Beige (13.5ml),2100.0,2800.0,33.33
KIKO Milano Velvet Touch Creamy Stick Blush New 2016 - 08 Rose Mauve (10 g),977.0,1035.0,5.94
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Shortbread (13.5ml),2100.0,2800.0,33.33
M.A.C Glow Play Blush - Ginger Luck (7.3 g),3040.0,3800.0,25.0
Swiss Beauty Liquid Concealer - 01 Warm Sand (6g),186.0,199.0,6.99
FENTY BEAUTY We're Even Hydrating Concealer - 230W (9 ml),2740.0,2911.0,6.24
KIKO Milano Daily Protection BB Cream - 01 Ivory (30 ml),1147.0,1215.0,5.93
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 05 Beige Honey (25 g),369.0,399.0,8.13
Yves Saint Laurent All Hours Concealer - LN1 (15 ml),3420.0,2880.0,-15.79
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Warm Sand (13.5ml),2100.0,2800.0,33.33
Swiss Beauty Liquid Lightweight Concealer With Full Coverage - 14 Warm Honey (6 g),186.0,199.0,6.99
FAE BEAUTY Lush Blush - Wifey (5.5 ml),479.0,509.0,6.26
FENTY BEAUTY Soft'Lit Naturally Luminous Foundation - 240 (32 ml),3500.0,4375.0,25.0
Lakme Xtraordin-airy Compact 2 In 1 Compact + Foundation Lightweight SPF17 - 05 Beige Honey (9 g),325.0,351.0,8.0
Swiss Beauty Liquid Concealer - 02 Sand Sable (6g),186.0,211.0,13.44
KIKO Milano Hydrating And Perfecting Face Base Primer - Blue (30 ml),1317.0,1395.0,5.92
Pilgrim BB Cream With SPF 50 PA++++ - Beige Glow (30 g),276.0,316.0,14.49
KIKO Milano Unlimited Blush - 12 Natural Pink (6 g),1011.0,1071.0,5.93
M.A.C Studio Fix Fluid SPF 15 Foundation - NC42 (30 ml),2550.0,3400.0,33.33
Renee Everyday CC+BB Cream - Classic Frappe (20 g),211.0,219.0,3.79
KIKO Milano Daily Protection BB Cream - 03 Honey (30 ml),1096.0,1161.0,5.93
Swiss Beauty Cream It Up Blush - Copper Cheeks (10 ml),224.0,254.0,13.39
M.A.C Studio Fix Powder Plus Foundation - NC43.5 (12 g),2550.0,3000.0,17.65
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Cloud (13.5ml),2100.0,2800.0,33.33
Too Faced Chocolate Soleil Multi-Use Creamy Bronzing & Sculpting Stick - Chocolate Caramel (8 g),2800.0,3500.0,25.0
Swiss Beauty Liquid Concealer - 04 Medium Beige (6g),186.0,211.0,13.44
Lakme 9to5 Powerplay Priming Concealer Built in Primer Hydrating - 20 Nude (5.4 ml),212.0,230.0,8.49
Benefit Cosmetics Shellie Warm Blush Mini - Seashell Pink (2.5g),1791.0,1990.0,11.11
Pilgrim Glow Primer (30 g),354.0,408.0,15.25
Too Faced Chocolate Soleil Multi-Use Creamy Bronzing & Sculpting Stick - Chocolate Mousse (8 g),2800.0,3500.0,25.0
Swiss Beauty Liquid Concealer - Orange (5.6g),186.0,211.0,13.44
Lakme 9to5 Unreal Dual Cover Pressed Powder 2 In 1 Compact + Foundation - 24 Beige (9 g),231.0,250.0,8.23
Charmacy Milano Matte Foundation - 11 Shade (30ml),967.0,989.0,2.28
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Golden Beige (13.5ml),2100.0,2800.0,33.33
Armani Luminous Silk Hydrating & Brightening Concealer - 6.5-Medium To Tan Neutral (12 ml),2847.0,3350.0,17.67
Pilgrim Serum Foundation - Warm Sand (30 g),451.0,521.0,15.52
"Fixderma Cosmetic Laboratories Bi-Phasic Instant Makeup Remover, Removes Eye & Lip Makeup (200ml)",633.0,676.0,6.79
Swiss Beauty Shiny Pearl Water Drop Blemish Balm BB Foundation - 03 Shade (40ml),171.0,194.0,13.45
Daily Life Forever52 Ultra Definition Liquid Foundation - FLF005 Milk Cake (30 ml),967.0,1055.0,9.1
RENEE You Are Blushing Liquid Blush - Sunset Kiss (6 ml),378.0,391.0,3.44
KIKO Milano Daily Protection BB Cream - 04 Warm Almond (30 ml),1147.0,1215.0,5.93
Swiss Beauty Shiny Pearl Water Drop Blemish Balm BB Foundation - 02 Shade (40ml),171.0,194.0,13.45
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 04 Golden Light (25 g),369.0,399.0,8.13
KIKO Milano Unlimited Matte Longlasting Loose Powder - 02 Neutral (9 g),1317.0,1395.0,5.92
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 02 Rose Creme (25 g),369.0,399.0,8.13
Pilgrim Serum Foundation - Classic Nude (30 ml),451.0,521.0,15.52
"M.A.C Extra Dimension Skinfinish - Oh, Darling (9g)",3000.0,4000.0,33.33
Insight Cosmetics Dewy Finish HD Foundation - MNY 20 (20ml),283.0,261.0,-7.77
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 01 Classic Ivory (25 g),369.0,399.0,8.13
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 03 Golden Sand (25 g),369.0,399.0,8.13
KIKO Milano Matte Fusion Pressed Powder Compact - 05 Peach Rose (12 g),1181.0,1251.0,5.93
Akind Drop A Hint Hydrating Skin Tint SPF 30 PA+++ Dewy Skin & Sun Protection - 150 Honey (30ml),397.0,477.0,20.15
The Face Shop Rice Water Bright Rich Cleansing Oil (150ml),1031.0,1160.0,12.51
Pilgrim Serum Foundation - Pure Ivory (30 g),451.0,521.0,15.52
KIKO Milano Kind Powder Duo Blush 01 (6 g),1657.0,1755.0,5.91
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Porcelain (13.5ml),2100.0,2800.0,33.33
Benefit Cosmetics The Porefessional Matte Primer (22 ml),3240.0,3600.0,11.11
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Cookie (13.5ml),2100.0,2800.0,33.33
KIKO Milano Glow Fusion Powder Highlighter - 02 Heavenly Gold (5 g),1096.0,1161.0,5.93
Swiss Beauty Airbrush Foundation - Fair Ivory (30 ml),396.0,423.0,6.82
FAE BEAUTY Lush Blush - Saucy (5.5 ml),479.0,509.0,6.26
FAE BEAUTY Lush Blush - Lazy (5.5 ml),479.0,419.0,-12.53
Lakme 9to5 Powerplay Priming Concealer Built in Primer Hydrating - 10 Ivory (5.4 ml),231.0,250.0,8.23
Pilgrim Serum Foundation - Golden Beige (30 g),382.0,451.0,18.06
FAE BEAUTY Lush Blush - Nutty (5.5 ml),479.0,509.0,6.26
Swiss Beauty Airbrush Foundation - Shell White (30 ml),396.0,423.0,6.82
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer - Almond (13.5ml),2100.0,2240.0,6.67
Swiss Beauty Airbrush Foundation - Golden Beige (30 ml),396.0,423.0,6.82
Swiss Beauty Liquid Concealer - Clair Moyen (5.6g),186.0,211.0,13.44
FAE BEAUTY Lush Blush - Baki (5.5 ml),479.0,419.0,-12.53
Swiss Beauty Liquid Concealer - 07 Yellow (6g),186.0,211.0,13.44
Lakme Xtraordin-airy Mattereal Mousse Foundation Matte Finish Has SPF8 - 06 Almond Honey (25 g),406.0,439.0,8.13
FAE BEAUTY Lush Blush - Witty (5.5 ml),479.0,509.0,6.26
Lakme Showstopper Collection Rouge Bloom Powder Blush Vintage Rose - (12 g),629.0,584.0,-7.15
KIKO Milano Full Coverage Dark Circles Concealer - 03 - Light Neutral (8 ml),1062.0,1125.0,5.93
FAE BEAUTY Lush Blush - Fizzy (5.5 ml),479.0,509.0,6.26
FAE BEAUTY Lush Blush - Spicy (5.5 ml),479.0,509.0,6.26
KIKO Milano Kind Powder Bronzer 01 (6 g),1657.0,1755.0,5.91
Bobbi Brown Skin Full Cover Concealer - Warm Honey (8ml),2917.0,3112.0,6.68
FENTY BEAUTY Soft'Lit Naturally Luminous Foundation - 295 (32 ml),3500.0,4375.0,25.0
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Chestnut (13.5ml),2100.0,2800.0,33.33
M.A.C Studio Fix Powder Plus Foundation - NC25 (12 g),2550.0,3000.0,17.65
Charmacy Milano Matte Foundation - 04 (30ml),967.0,989.0,2.28
KIKO Milano Skin Hybrid Blurring Skin Tint Foundation SPF 30 - 04 Warm Almond (30 ml),1402.0,1485.0,5.92
FENTY BEAUTY Sun Stalk'r Instant Warmth Bronzer - 05 Caramel Cutie (6.23 g),3080.0,3272.0,6.23
Too Faced Cloud Crush - Super Candy Clouds (4.3 g),2040.0,2550.0,25.0
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Butterscotch (13.5ml),2025.0,2700.0,33.33
Too Faced Born This Way Foundation - Light Beige (30 ml),3160.0,3950.0,25.0
Bobbi Brown Highlighting Powder - Pink Glow (8g),4560.0,5700.0,25.0
M.A.C Studio Fix Conceal And Correct Palette - Deep (6 g),4360.0,5450.0,25.0
Too Faced Born This Way Super Coverage Multi Use Sculpting Concealer- Nude (13.5ml),2100.0,2800.0,33.33
Swiss Beauty Pearl Illuminator Makeup Base - 02 Silver Pink (35g),246.0,263.0,6.91
KIRO Glow On The Go 3 -1 Highlighter & Blush - 02 Sundowner Spritz Mid (3.5 ml),595.0,722.0,21.34
